,VPN Usage (hours per week),SIM Card Changes,Trading Accounts,Recharge Frequency,Dependents,Streaming Services,Payment Delay of Streaming Services (per year),Family Defaulters,Smart Cards,Medical Bills,Default in GST filing (per quarter),Antivirus Subscriptions,Shopping Behavior (returns per month),Utility Bills (per month),Registered Vehicles,Registered Vehicles Challan (per year),Certificates,Licenses,Insurances,FDs Dissolved,International Transactions,Public Memberships,Pet Bills (per year),Accounts,UPI Failures
12,6.8,1.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,15314.0,1.0,1.0,0.0,8035.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88496.1,3.0,25.0
13,8.53,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,11450.8,1.0,1.0,1.0,9047.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,2742.5,1.0,63.0
14,7.67,2.0,1.0,1.0,5.0,4.0,4.0,1.0,4.0,8905.8,1.0,1.0,0.0,10495.0,0.0,0.0,1.0,0.0,2.0,1.0,8.0,0.0,45260.0,4.0,50.0
15,7.11,2.0,2.0,2.0,1.0,4.0,2.0,5.0,2.0,15830.2,0.0,1.0,1.0,5667.0,1.0,0.0,0.0,3.0,2.0,1.0,6.0,0.0,14781.0,4.0,20.0
16,10.39,2.0,1.0,1.0,3.0,2.0,3.0,0.0,2.0,7896.5,0.0,2.0,1.0,13407.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,10628.6,4.0,31.0
17,2.27,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,9220.4,1.0,1.0,0.0,4537.0,0.0,0.0,0.0,0.6757399439811707,2.0,1.0,20.0,0.0,97327.9,4.0,26.0
18,7.83,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,7795.0,1.0,1.0,1.0,14936.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,51587.5,3.0,26.59773826599121
19,5.66,1.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,6974.1,0.6258817315101624,1.0,1.0,8906.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,22546.4,0.0,27.0
20,3.0,0.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,192.9,1.0,2.0,1.0,8465.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,37179.3,1.0,32.0
21,7.77,0.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0,13322.7,0.0,1.0,1.0,11849.0,0.0,0.0,0.6725653409957886,1.0,1.0,1.0,28.0,0.0,60751.6,2.0,32.0
22,4.49,2.0,2.0,2.0,2.0,3.0,0.0,1.0,4.0,9622.0439453125,0.0,1.0,1.0,17581.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,10843.6,2.0,16.0
23,5.61,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,4570.8,0.0,1.0,1.0,10639.0,1.0,0.0,0.0,1.0,2.0,1.0,9.0,0.0,12711.5,2.0,21.0
24,8.18,0.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,4702.9,2.0,0.0,1.0,8964.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,14821.1,3.0,33.0
25,15.79,2.0,1.0,1.0,1.0,1.0,1.6251518726348877,3.0,3.0,6661.1,0.0,1.0,1.0,16882.0,0.0,1.0,0.0,1.0,3.0,0.0,10.0,0.0,62331.6,1.0,42.0
26,10.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,14732.2,0.0,1.0,1.0,15655.0,0.0,1.0,1.0,2.0,3.0,0.0,20.0,0.0,27515.1,3.0,9.0
27,5.86,1.0,3.0,1.5080021619796753,4.0,2.0,2.0,6.0,1.0,12539.4,1.0,1.0,1.0,22220.0,0.0,0.0,0.0,1.0,1.0,1.0,16.0,0.0,16522.7,4.0,20.0
28,6.95,1.0,1.0,1.0,7.0,3.0,0.0,2.0,4.0,4334.6,1.0,1.0,1.0,4523.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,0.0,32412.4,1.0,29.0
29,7.19,1.0,1.0,2.0,5.0,3.0,1.0,4.0,2.0,16741.9,1.0,1.0,0.7289723753929138,14994.0,1.0,0.0,0.0,1.0,2.0,1.0,13.0,0.0,55539.4,1.0,40.0
30,4.23,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,12023.6,1.0,1.0,0.0,17959.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,62841.2,4.0,15.0
31,4.33,1.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,9397.4,1.0,0.0,2.0,9871.0,1.0,0.401937335729599,1.0,0.0,2.0,0.6252020001411438,18.0,0.0,31648.4,3.0,14.0
32,4.15,1.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,6845.1,0.0,0.0,0.0,9730.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,0.0,35779.5,1.0,60.0
33,8.33,0.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,13574.7,0.0,1.0,1.0,5853.0,1.0,0.0,1.0,2.0,1.0,0.0,9.0,0.0,46661.1,0.0,35.0
34,9.89,0.0,3.0,2.0,1.0,4.0,0.0,1.0,3.0,16745.2,1.0,0.0,0.0,15226.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,26323.5,1.0,44.0
35,9.01,1.0,0.0,1.3633183240890503,2.0,3.0,1.0,4.0,2.0,2990.2,1.0,0.0,1.0,3864.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,0.0,21709.9,4.0,24.0
36,16.08,1.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,17067.6,1.0,0.0,1.0,2821.0,0.0,0.0,0.0,1.0,1.0,0.0,29.0,0.0,10224.4,3.0,41.0
37,3.78,2.0,3.0,1.436040997505188,3.0,3.0,1.0,1.0,2.0,17765.4,1.0,2.0,0.0,12317.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,28666.5,2.0,14.0
38,16.88,2.0,3.0,1.0,1.0,3.0,1.0,5.0,3.0,22871.1,0.0,0.0,1.0,6475.0,0.0,1.0,0.0,0.0,2.0,0.0,18.0,0.0,3972.8,2.0,49.0
39,7.79,1.0,1.0,2.0,0.0,3.0,2.0,2.0,2.6098525524139404,5972.3,1.0,0.0,1.0,11643.0,0.0,0.0,0.0,1.0,2.0,0.0,21.0,0.0,90727.7,3.0,38.0
40,5.13,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,8969.0,1.0,1.0,1.0,7094.0,1.0,0.0,1.0,0.0,2.0,0.0,23.0,0.0,25288.7,2.0,51.0
41,14.38,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5573.9,1.0,1.0,0.0,6998.0,2.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,36388.3828125,2.0,33.0
42,8.070597648620605,1.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,9706.2,0.0,1.0,1.0,5174.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.006170609965920448,12613.5,4.0,33.0
43,6.59,0.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,8801.8525390625,1.0,0.0,0.0,9181.0,1.0,1.0,1.0,0.0,4.0,1.0,9.0,0.0,37773.9,3.0,43.0
44,5.07,2.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,11239.2,0.0,0.0,1.0,4973.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,52848.5,1.0,52.0
45,5.72,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,8333.8,0.0,0.0,1.0,18239.0,1.0,1.0,1.0,1.0,2.0,1.0,22.0,0.0,44840.7,3.0,21.0
46,16.19,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,13875.7,0.0,1.0,1.0,7330.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,61078.3,4.0,29.0
47,6.13,2.0,0.0,1.4842703342437744,2.0,2.0,0.0,5.0,4.0,11839.3,0.0,1.0,1.0,15464.0,0.0,0.0,1.0,1.0,2.0,1.0,6.0,0.0,48650.2,3.0,7.0
48,16.08,2.0,0.0,1.0,3.0,3.0,1.0,1.0,3.0,3034.2,0.0,1.0,1.0,11566.0,0.0,0.0,1.0,1.0,3.0,0.0,40.0,0.0,34236.5,5.0,30.0
49,6.41,3.0,1.0,2.0,1.0,4.0,0.0,2.003235101699829,3.0,17376.5,0.0,1.0,1.0,10143.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,5091.1,2.0,4.0
50,5.29,3.0,0.0,1.0,3.0,5.0,1.0,5.0,3.0,15121.1,1.0,1.0,0.0,13378.0,1.0,0.0,1.0,1.0,1.0,1.0,29.0,0.0,18111.8,2.0,41.0
51,4.66,1.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,14436.3,0.0,1.0,1.0,14349.0,1.0,1.0,0.0,0.0,1.0,0.0,27.0,0.0,46482.5,1.0,28.0
52,7.25,1.0,0.0,1.0,2.0,5.0,0.0,2.0,3.0,9650.8,1.0,0.0,1.0,9486.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,15892.2,1.0,10.0
53,5.35,0.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,8611.3,1.0,0.0,0.6179909110069275,12841.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,5683.9,3.0,44.0
54,10.14,3.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,9979.3,1.0,0.0,1.0,4925.0,1.0,0.0,1.0,2.0,1.0,1.0,7.0,0.0,66580.7,3.0,29.0
55,5.39,1.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,18212.0,1.0,1.0,0.0,20901.0,1.0,0.0,2.0,1.0,1.0,0.0,12.0,0.0,61270.0,2.0,42.0
56,11.96,0.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,12523.8,0.0,1.0,0.0,8802.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,5272.7,4.0,26.0
57,11.94,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2785.9,0.0,1.0,1.0,6779.0,1.0,0.0,1.0,1.0,1.0,1.0,13.0,1.0,5987.2,2.0,22.0
58,5.92,2.0,0.0,1.0,5.0,4.0,2.0,2.0,3.0,10534.3,1.0,0.0,1.0,14436.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,25463.0,4.0,47.0
59,10.81,2.0,0.0,1.0,3.0,1.0,2.0,3.0,4.0,4378.3,1.0,0.0,0.0,13303.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,43046.8,4.0,5.0
60,12.34,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,9785.1,1.0,2.0,1.0,8754.0,2.0,1.0,0.0,3.0,0.0,1.0,8.0,0.0,8054.1,1.0,39.0
61,9.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8794.3,1.0,1.0,1.0,9039.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,15772.1,2.0,34.0
62,6.79,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,11016.5,1.0,1.0,1.0,9365.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,59250.3,2.0,17.0
63,7.53,1.0,1.0,2.0,1.0,2.0,0.0,5.0,2.0,6194.4,1.0,2.0,1.0,11434.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,65389.2,2.0,26.0
64,11.24,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,5425.8,0.0,1.0,1.0,8278.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,17428.0,3.0,17.0
65,6.01,2.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,13835.6,1.0,0.0,2.0,11254.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,105431.2,3.0,24.891918182373047
66,6.45,2.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,15900.4,1.0,1.0,1.0,12990.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,54178.8,1.0,33.0
67,4.34,0.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,5580.3,1.0,1.0,1.0,14730.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,23251.4,2.0,35.0
68,7.12,0.0,3.0,0.0,5.0,2.0,2.0,2.0,3.0,6812.1,1.0,1.0,0.0,4029.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,70215.0,2.0,8.0
69,3.04,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,494.2,0.0,1.0,1.0,15337.0,0.0,0.0,1.0,1.0,1.0,1.0,42.0,0.0,64578.3,1.0,31.0
70,6.31,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,11334.6,1.0,1.0,2.0,13857.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0,41536.8,3.0,40.0
71,6.86,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,18326.3,0.0,1.0,1.0,8637.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,28961.0,1.0,17.0
72,5.58,1.0,0.0,1.0,3.0,3.0,1.0,3.0,2.0,8060.7,0.0,1.0,0.0,12625.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,8050.4,1.0,29.0
73,3.34,1.4490680694580078,0.0,1.0,3.0,2.0,1.0,2.0,1.0,9868.8,1.0,2.0,0.0,18129.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,25632.3,4.0,13.0
74,8.33,1.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,7530.1,0.0,1.0,2.0,11805.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,22744.1,1.0,16.0
75,12.47,0.0,1.0,1.0,5.0,4.0,1.0,4.0,2.0,10805.0,0.0,1.0,1.0,2841.0,0.0,0.0,1.0,1.0,2.0,1.0,23.0,0.0,34026.4,4.0,27.0
76,6.47,1.0,1.0,2.0,3.0,2.0,3.0,1.0,5.0,8787.1,2.0,1.0,1.0,9526.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,0.0,30918.1,5.0,25.0
77,5.35,1.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,14198.3,1.0,1.0,1.0,3599.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,3164.9,4.0,47.0
78,5.92,2.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,17904.2,1.0,1.0,0.0,5572.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,0.0,47676.6,1.0,20.0
79,12.41,2.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,6697.4,1.0,1.0,1.0,10636.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,29223.6,1.0,15.0
80,8.39,0.0,1.0,2.0,4.0,2.836534261703491,0.0,0.0,3.0,9544.126953125,2.0,0.0,1.0,2555.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,89996.5,6.0,21.0
81,3.86,1.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,10202.8,1.0,1.0,1.0,14572.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0,0.0,21536.6,3.0,7.0
82,10.28,1.0,1.0,1.0,0.0,1.0,3.0,3.0,4.0,3291.2,1.0,1.0,1.0,6332.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,62819.6,2.199829339981079,15.0
83,4.24,2.0,0.0,2.0,5.0,3.0,2.0,3.0,2.0,5320.8,0.0,0.0,1.0,7044.0,1.0,0.0,1.0,1.0,1.0,0.0,23.0,0.0,28486.7,2.0,20.0
84,2.42,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,14068.9,1.0,1.0,0.0,12120.0,1.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,38426.4,2.0,13.0
85,5.58,2.0,2.0,1.0,2.6521875858306885,1.0,0.0,4.0,3.0,8380.6,1.0,1.0,1.0,10063.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,65255.1,2.0,4.0
86,4.44,0.0,2.0,2.0,1.0,3.0,1.0,0.0,3.0,2827.3,0.0,1.0,1.0,2790.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,69065.5,3.0,38.0
87,9.16,0.0,2.0,2.0,5.0,2.0,1.0,2.0,3.0,10710.8,1.0,0.0,1.0,10899.0,0.0,1.0,1.0,2.0,2.0,1.0,7.0,0.0,49636.9,3.0,15.0
88,7.96,1.0,3.0,1.0,5.0,4.0,1.0,3.0,2.0,8265.9,0.0,0.9185354113578796,1.0,9740.0,0.0,1.0,0.0,0.0,2.0,1.0,25.0,0.0,13085.6,3.0,13.0
89,10.46,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,15118.9,0.0,1.0,0.0,11184.0,0.0,0.0,1.0,1.0,3.0,0.0,27.0,0.0,65917.3,1.0,41.0
90,8.23,2.0,0.0,2.0,1.0,1.0,2.0,5.0,1.0,7491.6,0.0,1.0,0.0,12117.2333984375,0.0,0.0,0.0,0.0,1.0,1.0,26.0,0.0,51162.6,4.0,32.0
91,7.32,1.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,11556.7,0.0,2.0,0.0,22482.0,1.0,0.0,1.0,1.0,2.0,0.0,7.0,0.0,30462.9,3.0,33.0
92,8.37,3.0,1.0,0.0,3.0,4.0,0.0,2.0,2.0,5742.6,0.0,0.0,1.0,11616.0,0.0,1.0,1.0,2.0,0.0,0.0,31.0,0.0,56936.6,0.0,31.0
93,7.47,1.0,0.0,2.0,3.0,4.0,0.0,3.0,1.0,16048.0,1.0,1.0,0.0,11217.3310546875,1.0,1.0,1.0,2.0,1.0,1.0,8.0,0.0,13511.8,3.0,37.0
94,1.75,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,17592.6,1.0,1.0,2.0,17603.0,0.0,0.0,0.0,3.0,3.0,0.0,14.0,0.0,11824.5,5.0,47.0
95,9.96,1.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,8921.4,2.0,2.0,0.0,6695.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,92852.2,2.0,35.0
96,15.15,0.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,6341.7,0.0,1.0,0.0,10812.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,0.0,69560.4,3.0,12.0
97,7.35,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1327.9,0.0,1.0,0.0,13132.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,31047.3,2.0,19.0
98,7.36,0.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,9970.2,0.0,1.0,2.0,15059.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,8339.5,1.0,27.0
99,2.02,1.0,0.0,2.0,1.0,3.0,3.0,2.0,4.0,11300.7,1.0,1.0,0.0,15188.0,0.0,0.0,0.0,1.0,2.0,1.0,12.0,0.0,54506.0,2.0,39.0
100,12.97,0.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,10354.1,1.0,2.0,2.0,22118.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,25347.5,2.103522300720215,32.0
101,13.93,0.0,1.0,1.0,4.0,3.0,1.0,2.0,3.0,10896.3,0.0,1.0,2.0,11821.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,45486.9,3.0,11.0
102,11.62,2.0,2.0,0.0,4.0,3.0,1.0,2.0,2.0,4501.5,0.0,1.0,1.0,4571.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,37047.6,6.0,18.0
103,3.43,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,5882.3,1.0,2.0,2.0,22883.0,0.0,0.376422643661499,0.0,2.0,1.0,0.0,19.0,0.0,85713.8,3.0,35.0
104,13.18,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,13396.3,1.0,1.0,0.0,22203.0,1.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,18389.1,2.0,29.0
105,1.27,1.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,3525.4,1.0,1.0,1.0,14152.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,17865.5,2.0,22.0
106,7.57,2.0,0.0,2.0,6.0,2.0,3.0,2.0,1.0,10549.849609375,1.0,0.0,0.0,17861.0,0.0,0.0,1.0,0.0,3.0,0.0,20.0,0.0,49899.6,2.0,10.0
107,8.12,2.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,13883.9,0.0,1.0,1.0,17595.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,48366.6,2.0,29.0
108,11.94,2.0,3.0,2.0,5.0,2.0,3.0,4.0,2.0,7724.9,1.0,2.0,1.0,14652.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,40195.1,2.0,10.0
109,10.78,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,770.9,0.0,1.0,1.0,18666.0,1.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,8408.9,3.0,22.0
110,11.39,1.0,0.0,1.0,0.0,3.0,1.0,3.0,4.0,11488.1,1.0,1.0,1.0,7740.0,1.0,0.0,1.0,1.0,3.0,0.0,9.0,0.0,43737.1,4.0,20.0
111,12.52,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,4653.5,0.0,0.0,1.0,7180.0,1.0,0.0,0.0,1.0,2.0,0.0,14.0,0.0,14142.0,4.0,60.0
112,7.88,1.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,3982.6,1.0,0.0,1.0,18599.0,0.0,0.0,0.0,2.0,1.0,2.0,10.53857135772705,0.0,21993.8,1.0,17.0
113,11.16,1.0,2.0,1.0,0.0,3.0,1.7834936380386353,2.0,3.0,8067.0,1.0,0.0,0.0,5249.0,1.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,37442.7,2.0,17.0
114,2.62,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,13321.4,1.0,1.0,1.0,5686.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,51717.0,0.0,14.0
115,7.57,1.0,2.0,1.0,2.0,2.502558946609497,1.0,3.0,1.0,9630.0,1.0,1.0,0.0,9073.0,1.0,1.0,0.0,1.0,1.0,1.0,14.0,0.0,33706.0,2.0,37.0
116,1.5,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,8574.4,1.0,0.8928077816963196,2.0,6427.0,0.0,1.0,0.0,1.0,1.0,0.0,11.0,0.0,31160.1,4.0,20.0
117,13.55,1.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,10812.3,1.0,1.0,1.0,5640.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,19988.1,3.0,24.0
118,14.97,1.0,2.0,1.0,4.0,3.0,1.0,4.0,3.0,16185.8,0.0,0.0,1.0,10466.0,1.0,0.0,1.0,0.0,2.0,1.0,10.0,0.0,61054.6,3.0,27.0
119,2.98,2.0,0.0,2.0,4.0,4.0,2.0,4.0,3.0,8744.4,1.0,1.0,1.0,2838.0,0.0,1.0,1.0,0.0,2.0,0.0,18.0,0.0,41750.6,2.3047075271606445,3.0
120,8.43,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3087.1,1.0,2.0,1.0,10884.0,0.0,1.0,0.0,2.0,2.0,2.0,11.0,1.0,9000.5,4.0,28.0
121,6.36,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,6419.0,0.0,1.0,1.0,17342.0,0.0,0.38502514362335205,0.0,1.0,1.0,1.0,17.0,0.0,12257.3,3.0,41.0
122,7.792398452758789,2.0,1.0,3.0,2.0,1.0,0.0,1.0,3.0,16036.9,0.0,2.0,2.0,11570.0,1.0,0.0,1.0,2.0,1.0,1.0,13.0,0.0,45938.4,2.0,21.0
123,7.63,1.0,2.0,0.0,4.0,3.0,1.0,3.0,2.0,9602.7,2.0,1.0,1.0,7290.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,21965.9,1.0,31.0
124,3.77,1.0,2.0,1.0,2.0,3.0,0.0,2.0,3.0,9802.8115234375,0.0,0.0,2.0,4927.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,0.0,62410.7,2.0,23.0
125,4.63,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6814.8,1.0,1.0,2.0,12731.0,0.0,1.0,0.0,1.0,3.0,1.0,11.0,0.0,12742.3,2.0,23.0
126,8.88,1.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,8747.0,1.0,1.0,2.0,15152.0,1.0,1.0,1.0,1.0,1.272121787071228,0.0,3.0,0.0,1229.0,2.0,17.0
